Wall time,Step,Value
1520751358.504481,58391,0.7400000095367432
1520751391.420204,65030,0.7400000095367432
1520751400.188675,66797,0.7400000095367432
1520751406.178348,68016,0.7400000095367432
1520751454.789521,77722,0.7400000095367432
1520751481.756474,83102,0.7400000095367432
1520751494.246667,85655,0.7400000095367432
1520751532.845491,93545,0.7400000095367432
1520751602.711896,103987,46.900001525878906
1520751617.008363,106878,46.900001525878906
1520751631.793899,109841,46.900001525878906
1520751660.79279,115637,46.900001525878906
1520751690.5023,121625,46.900001525878906
1520751721.447788,127930,46.900001525878906
1520751731.221215,129940,46.900001525878906
1520751732.265406,130144,46.900001525878906
1520751749.093799,133539,46.900001525878906
1520751749.34231,133589,46.900001525878906
1520751770.422549,137956,46.900001525878906
1520751782.760437,140483,46.900001525878906
1520751817.122337,147445,46.900001525878906
1520751817.952462,147620,46.900001525878906
1520751869.314446,154230,60.08000183105469
1520751935.896266,167710,60.08000183105469
1520751956.008548,171784,60.08000183105469
1520751958.932333,172380,60.08000183105469
1520751985.026066,177601,60.08000183105469
1520752014.842293,183649,60.08000183105469
1520752016.397802,183971,60.08000183105469
1520752041.848674,189104,60.08000183105469
1520752141.144786,205648,56.380001068115234
1520752177.385865,213001,56.380001068115234
1520752324.924979,243043,56.380001068115234
1520752404.168737,255514,61.060001373291016
1520752414.8362,257673,61.060001373291016
1520752418.507389,258432,61.060001373291016
1520752423.487231,259436,61.060001373291016
1520752481.854416,271267,61.060001373291016
1520752533.182574,281662,61.060001373291016
1520752544.040936,283855,61.060001373291016
1520752591.004592,293402,61.060001373291016
1520752593.774333,293971,61.060001373291016
1520752604.061189,296067,61.060001373291016
1520752620.341757,299385,61.060001373291016
1520752620.898073,299498,61.060001373291016
1520752621.266573,299569,61.060001373291016
1520752647.756693,301114,58.779998779296875
1520752650.722446,301702,58.779998779296875
1520752659.944012,303555,58.779998779296875
1520752725.330196,316870,58.779998779296875
1520752731.132138,318043,58.779998779296875
1520752732.932878,318409,58.779998779296875
1520752751.879516,322258,58.779998779296875
1520752806.852348,333358,58.779998779296875
1520752838.255198,339666,58.779998779296875
1520752962.43009,361101,56.099998474121094
1520753034.778789,375856,56.099998474121094
1520753047.115344,378369,56.099998474121094
1520753093.633709,387775,56.099998474121094
1520753121.257901,393338,56.099998474121094
1520753182.941912,402086,60.380001068115234
1520753199.590183,405508,60.380001068115234
1520753213.170035,408307,60.380001068115234
1520753221.266644,409936,60.380001068115234
1520753264.692132,418886,60.380001068115234
1520753266.820169,419312,60.380001068115234
1520753295.998548,425212,60.380001068115234
1520753333.047062,432704,60.380001068115234
1520753375.627154,441302,60.380001068115234
1520753381.205745,442417,60.380001068115234
1520753412.442602,448754,60.380001068115234
1520753474.533433,457591,59.939998626708984
1520753563.835423,475638,59.939998626708984
1520753570.191096,476902,59.939998626708984
1520753613.32653,485519,59.939998626708984
1520753666.477204,496350,59.939998626708984
1520753710.074351,501592,62.040000915527344
1520753737.807916,507230,62.040000915527344
1520753751.851916,510097,62.040000915527344
1520753791.968702,518255,62.040000915527344
1520753797.598298,519423,62.040000915527344
1520753815.446339,523025,62.040000915527344
1520753845.697185,529153,62.040000915527344
1520753856.890014,531485,62.040000915527344
1520753879.793601,536118,62.040000915527344
1520753892.67272,538683,62.040000915527344
1520753895.483513,539253,62.040000915527344
1520753900.845533,540356,62.040000915527344
1520753933.418501,546945,62.040000915527344
1520753985.236965,553834,64.0999984741211
1520753996.309952,556094,64.0999984741211
1520754013.424608,559575,64.0999984741211
1520754056.343682,568235,64.0999984741211
1520754063.560682,569698,64.0999984741211
1520754126.442643,582501,64.0999984741211
1520754129.932375,583228,64.0999984741211
1520754155.795212,588432,64.0999984741211
1520754156.000276,588472,64.0999984741211
1520754182.372229,593838,64.0999984741211
1520754240.124059,601729,64.9800033569336
1520754292.897743,612370,64.9800033569336
1520754300.688993,613967,64.9800033569336
